[+] hooked kernel32.dll!CreateFileA @ 0x7700e9f0
[+] hooked kernel32.dll!CreateFileW @ 0x7700ea00
[filetrace] ready, t0 set
[0.026s] OPEN CreateFileW  C:\WINDOWS\SYSTEM32\OLEACCRC.DLL
[0.029s] OPEN CreateFileW  Bin\aablood.gzp
[0.029s] OPEN CreateFileA  Bin\aablood.gzp
[0.029s] OPEN CreateFileW  Bin\aanoeng.gzp
[0.029s] OPEN CreateFileA  Bin\aanoeng.gzp
[0.030s] OPEN CreateFileW  Bin\extra.gzp
[0.030s] OPEN CreateFileA  Bin\extra.gzp
[0.030s] OPEN CreateFileW  Bin\sfxlev1.gzp
[0.030s] OPEN CreateFileA  Bin\sfxlev1.gzp
[0.030s] OPEN CreateFileW  Bin\tx_lev1.gzp
[0.030s] OPEN CreateFileA  Bin\tx_lev1.gzp
[0.031s] OPEN CreateFileW  Bin\w_intro_island.gzp
[0.031s] OPEN CreateFileA  Bin\w_intro_island.gzp
[0.031s] OPEN CreateFileW  Bin\w_Kstory1.gzp
[0.031s] OPEN CreateFileA  Bin\w_Kstory1.gzp
[0.032s] OPEN CreateFileW  Bin\w_Kstory2.gzp
[0.032s] OPEN CreateFileA  Bin\w_Kstory2.gzp
[0.032s] OPEN CreateFileW  Bin\w_Kstory3.gzp
[0.032s] OPEN CreateFileA  Bin\w_Kstory3.gzp
[0.032s] OPEN CreateFileW  Bin\w_Kstory4.gzp
[0.032s] OPEN CreateFileA  Bin\w_Kstory4.gzp
[0.032s] OPEN CreateFileW  Bin\w_Kstory5.gzp
[0.032s] OPEN CreateFileA  Bin\w_Kstory5.gzp
[0.033s] OPEN CreateFileW  Bin\w_menus.gzp
[0.033s] OPEN CreateFileA  Bin\w_menus.gzp
[0.034s] OPEN CreateFileW  Bin\w_M_3WAY_L1.gzp
[0.034s] OPEN CreateFileA  Bin\w_M_3WAY_L1.gzp
[0.034s] OPEN CreateFileW  Bin\w_M_3WAY_L2.gzp
[0.034s] OPEN CreateFileA  Bin\w_M_3WAY_L2.gzp
[0.034s] OPEN CreateFileW  Bin\w_M_3WAY_L3.gzp
[0.034s] OPEN CreateFileA  Bin\w_M_3WAY_L3.gzp
