addr,size,kind,bind,section,demangled,mangled
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,C:/Projects/GiantsPsx2/Source/GiantsPS2/crt0.s,C:/Projects/GiantsPsx2/Source/GiantsPS2/crt0.s
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,C:/Projects/GiantsPsx2/Source/GiantsPS2/ramfont.s,C:/Projects/GiantsPsx2/Source/GiantsPS2/ramfont.s
0x00000000,0,NOTYPE,STB_LOCAL,SHN_ABS,v1m_dummyGifVtx,v1m_dummyGifVtx
0x00000000,0,NOTYPE,STB_LOCAL,4,__start_.DVP.overlay..0x0.56835.35.0,__start_.DVP.overlay..0x0.56835.35.0
0x00000000,0,NOTYPE,STB_LOCAL,4,v1c_nop,v1c_nop
0x00000000,0,NOTYPE,STB_LOCAL,4,gotoParam,gotoParam
0x00000000,0,NOTYPE,STB_LOCAL,12,__start_.DVP.overlay..0x0.56835.65.8,__start_.DVP.overlay..0x0.56835.65.8
0x00000000,0,NOTYPE,STB_LOCAL,SHN_ABS,v0m_P_OUT,v0m_P_OUT
0x00000000,0,NOTYPE,STB_LOCAL,SHN_ABS,v0m_CNT,v0m_CNT
0x00000000,0,NOTYPE,STB_LOCAL,12,v0c_doCmdAtInBuf,v0c_doCmdAtInBuf
0x00000000,0,NOTYPE,STB_LOCAL,13,__start_.DVP.overlay..0x0.56835.90.9,__start_.DVP.overlay..0x0.56835.90.9
0x00000000,0,NOTYPE,STB_LOCAL,SHN_ABS,o_c,o_c
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/memcmp.S,../../../../../../src/newlib/libc/machine/r5900/memcmp.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/memcpy.S,../../../../../../src/newlib/libc/machine/r5900/memcpy.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/memmove.S,../../../../../../src/newlib/libc/machine/r5900/memmove.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/memset.S,../../../../../../src/newlib/libc/machine/r5900/memset.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strcat.S,../../../../../../src/newlib/libc/machine/r5900/strcat.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strchr.S,../../../../../../src/newlib/libc/machine/r5900/strchr.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strcmp.S,../../../../../../src/newlib/libc/machine/r5900/strcmp.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strcpy.S,../../../../../../src/newlib/libc/machine/r5900/strcpy.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strlen.S,../../../../../../src/newlib/libc/machine/r5900/strlen.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strncat.S,../../../../../../src/newlib/libc/machine/r5900/strncat.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strncmp.S,../../../../../../src/newlib/libc/machine/r5900/strncmp.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/strncpy.S,../../../../../../src/newlib/libc/machine/r5900/strncpy.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,../../../../../../src/newlib/libc/machine/r5900/memchr.S,../../../../../../src/newlib/libc/machine/r5900/memchr.S
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,klib.s,klib.s
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,version.h,version.h
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,klib.s,klib.s
0x00000000,0,STT_FILE,STB_LOCAL,SHN_ABS,klib.s,klib.s
0x00000000,0,OBJ,STB_GLOBAL,13,MipsQuatToMtxSubr,MipsQuatToMtxSubr
0x00000001,0,NOTYPE,STB_LOCAL,SHN_ABS,CHOOSE_SINGLE_BONE,CHOOSE_SINGLE_BONE
0x00000001,0,NOTYPE,STB_LOCAL,SHN_ABS,v0m_xyzSiz,v0m_xyzSiz
