pc_addr,pc_name,ps2_addr,ps2_name,conf,tier,shared
005e3840,FUN_005e3840,0x001e2cd8,teammecc_set_mode,1.0,string-anchor,
00453370,FUN_00453370,0x001dd200,chat_init,1.0,string-anchor,
005e30e0,FUN_005e30e0,0x001e2580,mecc_shot,1.0,string-anchor,
004aca40,FUN_004aca40,0x00110280,smartie_base_attack_comment__FP6OBJECT,1.0,string-anchor,
004aa710,FUN_004aa710,0x0011eb50,bldg_get_bldg_name,1.0,string-anchor,
005038f0,FUN_005038f0,0x0013ca50,item_check,1.0,string-anchor,
005b5140,FUN_005b5140,0x001c39b8,rpman_move,1.0,string-anchor,
005d1e20,FUN_005d1e20,0x001d63c0,smartie_get_name__FP6OBJECT,1.0,string-anchor,
004a9570,FUN_004a9570,0x001d0218,smartie_move,1.0,string-anchor(weak),7
00494d50,FUN_00494d50,0x0010fa10,meccbaseitem_finish_building,0.9,string-anchor,
004e3c50,FUN_004e3c50,0x001ae088,firewall_create_fire__FP6OBJECTT0Uifffi,0.9,string-anchor,
00504a20,FUN_00504a20,0x0013d6d8,inv_award_item,0.9,string-anchor,
00537130,FUN_00537130,0x00166990,mecc_fire_logic__FP6OBJECT,0.9,string-anchor,
0057eb60,FUN_0057eb60,0x0019fc40,reaperbasebldg_finish_building,0.9,string-anchor,
0058acd0,FUN_0058acd0,0x001a8048,reaper_finish_shrinker,0.9,string-anchor,
005d29a0,FUN_005d29a0,0x00168ef0,mecc_special_weapon_logic__FP6OBJECT,0.9,string-anchor,
005ebca0,FUN_005ebca0,0x00180888,player_draw_missile_lock,0.9,string-anchor,
00532f00,FUN_00532f00,0x00164f10,mecc_logic,0.9,string-anchor,
0048fba0,FUN_0048fba0,0x00102218,object_animate_process,0.725,propagated,
0062a0b0,FUN_0062a0b0,0x0012bc70,FRateGetSecsframe,0.705,propagated,
005e80c0,FUN_005e80c0,0x001e5840,TextGetPtr,0.7,propagated,
00463000,FUN_00463000,0x0023b3ec,strcpy,0.7,propagated,
00469670,FUN_00469670,0x001df5f0,teammecc_setup_enemies__FP6OBJECTi,0.667,string-anchor(weak),2
005536d0,FUN_005536d0,0x0016b158,showchat_mission_objective__Fi,0.667,string-anchor(weak),2
0045f460,FUN_0045f460,0x001dd598,chat_insert,0.651,propagated,
005c6550,FUN_005c6550,0x001d0218,smartie_move,0.639,propagated,
00453a40,FUN_00453a40,0x001dda88,chat_insert_name,0.629,propagated,
004e9cd0,FUN_004e9cd0,0x0012d1a8,fx_create,0.626,propagated,
00638d40,FUN_00638d40,0x001e82f8,distancesq3d__FP3P3DT0,0.621,propagated,
0057f680,FUN_0057f680,0x00110540,meccbaseitem_shot,0.619,propagated,
005d6540,FUN_005d6540,0x001f2c60,vsoul_activate_mana__FP6OBJECTT0ifi,0.61,propagated,
005b3af0,FUN_005b3af0,0x001c25c8,rpman_jetski_race__FP6OBJECTf,0.608,propagated,
005acba0,FUN_005acba0,0x001bdbb8,rpman_verify_bush__FP6OBJECT,0.608,propagated,
005b3f90,FUN_005b3f90,0x001c29f0,rpman_init__FP6OBJECT,0.603,propagated,
00493810,FUN_00493810,0x0010efd0,meccbaseitem_move,0.602,propagated,
0057dbb0,FUN_0057dbb0,0x0019f2d8,reaperbasebldg_move,0.602,propagated,
005b07a0,FUN_005b07a0,0x001c07b8,rpman_select_patrol_anim__FP6OBJECTi,0.601,propagated,
0056ea70,FUN_0056ea70,0x00184dd8,IconDefTextDescription,0.6,propagated,
005ad0c0,FUN_005ad0c0,0x001be0c0,rpman_consider_group_halt__FP6OBJECTT0,0.6,propagated,
004ab890,FUN_004ab890,0x0011f188,PS2BaseViewTextRender,0.6,string-anchor(weak),3
00469de0,FUN_00469de0,0x0012d640,fx_delete,0.599,propagated,
005e81d0,FUN_005e81d0,0x001e5908,TextGetPtrRandom,0.599,propagated,
005ad450,FUN_005ad450,0x001be460,rpman_spline_return_info__FP6OBJECT,0.595,propagated,
0056cd80,FUN_0056cd80,0x00181e90,playerobj_eval_refpt,0.586,propagated,
00539bd0,FUN_00539bd0,0x001686b0,mecc_is_bush_logic__FP6OBJECT,0.583,propagated,
005adb50,FUN_005adb50,0x001beb80,rpman_verify_enemy__FP6OBJECTf,0.582,propagated,
00469d20,FUN_00469d20,0x00180bc0,ObjIsReaper,0.577,propagated,
005b0ac0,FUN_005b0ac0,0x001c0970,rpman_select_fly_anim__FP6OBJECTi,0.577,propagated,
0048d740,FUN_0048d740,0x00100300,ai_movedir_set_goal,0.576,propagated,
0048f130,FUN_0048f130,0x00167e58,mecc_in_gyro,0.575,propagated,
005b0470,FUN_005b0470,0x001c05d8,rpman_select_stand_anim__FP6OBJECTii,0.575,propagated,
004ff8b0,FUN_004ff8b0,0x00138940,project_vector_to_object,0.57,propagated,
005af0d0,FUN_005af0d0,0x001bfcb0,rpman_chase_angle_loc__FP6OBJECTP3P3D,0.567,propagated,
004a69a0,FUN_004a69a0,0x0011da60,playergroup_claim_base,0.566,propagated,
005ad4e0,FUN_005ad4e0,0x001be508,rpman_spline_move__FP6OBJECT,0.562,propagated,
004ff520,FUN_004ff520,0x001388b0,project_cursor_to_ground,0.561,propagated,
00500940,FUN_00500940,0x0013ae68,hurt_pusher,0.56,propagated,
005ab410,FUN_005ab410,0x001bccd8,rpman_jet__FP6OBJECT,0.56,propagated,
