pc_addr,apply_name,ps2_demangled,params,conf,tier,notes
005e3840,teammecc_set_mode,teammecc_set_mode,,1.00,string-anchor,SAFE_APPLY
00453370,chat_init,chat_init,,1.00,string-anchor,SAFE_APPLY
005e30e0,mecc_shot,mecc_shot,,1.00,string-anchor,SAFE_APPLY
004aca40,smartie_base_attack_comment,smartie_base_attack_comment(OBJECT*),OBJECT*,1.00,string-anchor,SAFE_APPLY
004aa710,bldg_get_bldg_name,bldg_get_bldg_name,,1.00,string-anchor,SAFE_APPLY
005038f0,item_check,item_check,,1.00,string-anchor,SAFE_APPLY
005b5140,rpman_move,rpman_move,,1.00,string-anchor,SAFE_APPLY
005d1e20,smartie_get_name,smartie_get_name(OBJECT*),OBJECT*,1.00,string-anchor,SAFE_APPLY
004a9570,smartie_move,smartie_move,,1.00,string-anchor(weak),SAFE_APPLY
00494d50,meccbaseitem_finish_building,meccbaseitem_finish_building,,0.90,string-anchor,SAFE_APPLY
004e3c50,firewall_create_fire,"firewall_create_fire(OBJECT*, /*same*/, unsigned int, float, float, float, int)","OBJECT*, /*same*/, unsigned int, float, float, float, int",0.90,string-anchor,SAFE_APPLY
00504a20,inv_award_item,inv_award_item,,0.90,string-anchor,SAFE_APPLY
00537130,mecc_fire_logic,mecc_fire_logic(OBJECT*),OBJECT*,0.90,string-anchor,SAFE_APPLY
0057eb60,reaperbasebldg_finish_building,reaperbasebldg_finish_building,,0.90,string-anchor,SAFE_APPLY
0058acd0,reaper_finish_shrinker,reaper_finish_shrinker,,0.90,string-anchor,SAFE_APPLY
005d29a0,mecc_special_weapon_logic,mecc_special_weapon_logic(OBJECT*),OBJECT*,0.90,string-anchor,SAFE_APPLY
005ebca0,player_draw_missile_lock,player_draw_missile_lock,,0.90,string-anchor,SAFE_APPLY
00532f00,mecc_logic,mecc_logic,,0.90,string-anchor,SAFE_APPLY
0048fba0,object_animate_process,object_animate_process,,0.72,propagated,REVIEW
0062a0b0,FRateGetSecsframe,FRateGetSecsframe,,0.70,propagated,REVIEW
005e80c0,TextGetPtr,TextGetPtr,,0.70,propagated,REVIEW
00463000,strcpy,strcpy,,0.70,propagated,REVIEW
00469670,teammecc_setup_enemies,"teammecc_setup_enemies(OBJECT*, int)","OBJECT*, int",0.67,string-anchor(weak),REVIEW
005536d0,showchat_mission_objective,showchat_mission_objective(int),int,0.67,string-anchor(weak),REVIEW
0045f460,chat_insert,chat_insert,,0.65,propagated,REVIEW
005c6550,smartie_move,smartie_move,,0.64,propagated,COLLISION_REVIEW
00453a40,chat_insert_name,chat_insert_name,,0.63,propagated,REVIEW
004e9cd0,fx_create,fx_create,,0.63,propagated,REVIEW
00638d40,distancesq3d,"distancesq3d(P3D*, /*same*/)","P3D*, /*same*/",0.62,propagated,REVIEW
0057f680,meccbaseitem_shot,meccbaseitem_shot,,0.62,propagated,REVIEW
005d6540,vsoul_activate_mana,"vsoul_activate_mana(OBJECT*, /*same*/, int, float, int)","OBJECT*, /*same*/, int, float, int",0.61,propagated,REVIEW
005b3af0,rpman_jetski_race,"rpman_jetski_race(OBJECT*, float)","OBJECT*, float",0.61,propagated,REVIEW
005acba0,rpman_verify_bush,rpman_verify_bush(OBJECT*),OBJECT*,0.61,propagated,REVIEW
005b3f90,rpman_init,rpman_init(OBJECT*),OBJECT*,0.60,propagated,REVIEW
00493810,meccbaseitem_move,meccbaseitem_move,,0.60,propagated,REVIEW
0057dbb0,reaperbasebldg_move,reaperbasebldg_move,,0.60,propagated,REVIEW
005b07a0,rpman_select_patrol_anim,"rpman_select_patrol_anim(OBJECT*, int)","OBJECT*, int",0.60,propagated,REVIEW
0056ea70,IconDefTextDescription,IconDefTextDescription,,0.60,propagated,REVIEW
005ad0c0,rpman_consider_group_halt,"rpman_consider_group_halt(OBJECT*, /*same*/)","OBJECT*, /*same*/",0.60,propagated,REVIEW
004ab890,PS2BaseViewTextRender,PS2BaseViewTextRender,,0.60,string-anchor(weak),REVIEW
