1.5_addr,1.5_name,vanilla_addr,vanilla_name,tier,score,origin,shared_rare,size_ratio,prefix,jaccard,ps2_name
0062af40,FUN_0062af40,0051f900,FUN_0051f900,EXACT,1.0,string,118,1.088,0,0.367,
005e3840,FUN_005e3840,0050a720,FUN_0050a720,EXACT,1.0,string,11,1.035,0,0.068,teammecc_set_mode
0062b9c0,FUN_0062b9c0,00520430,FUN_00520430,EXACT,1.0,string,10,1.153,0,0.093,
005791c0,FUN_005791c0,004b7c50,FUN_004b7c50,EXACT,1.0,string,8,1.168,0,0.112,
0045b3f0,FUN_0045b3f0,0052a340,FUN_0052a340,EXACT,1.0,string,7,1.077,0,0.133,
0046dd40,FUN_0046dd40,00539730,FUN_00539730,EXACT,1.0,string,6,1.008,0,0.081,
005e9300,FUN_005e9300,0050dd20,FUN_0050dd20,EXACT,1.0,string,6,1.025,0,0.228,
00490eb0,FUN_00490eb0,00407820,FUN_00407820,EXACT,1.0,string,2,1.007,2,0.333,
0046da10,FUN_0046da10,00539480,FUN_00539480,EXACT,1.0,string,2,1.016,0,0.022,
005e2f30,FUN_005e2f30,00509dc0,FUN_00509dc0,EXACT,1.0,string,2,1.041,2,0.121,mecc_smoke
0062e1a0,FUN_0062e1a0,005222c0,FUN_005222c0,EXACT,1.0,string,2,1.086,0,0.129,
00643a10,FUN_00643a10,0054dac4,FUN_0054dac4,EXACT,1.0,fingerprint,0,1.025,12,1.0,
00645670,__allmul,0054c610,__allmul,EXACT,1.0,fingerprint,0,1.0,19,1.0,
006457a0,__allshl,0054f850,__allshl,EXACT,1.0,fingerprint,0,1.0,15,1.0,
004b17c0,FUN_004b17c0,00422bd0,FUN_00422bd0,HIGH,1.0,string,65,1.262,1,0.174,
004af150,FUN_004af150,004208f0,FUN_004208f0,HIGH,1.0,string,56,1.412,1,0.157,
00459be0,FUN_00459be0,005286e0,FUN_005286e0,HIGH,1.0,string,30,1.575,0,0.225,
00629a50,FUN_00629a50,0051d920,FUN_0051d920,HIGH,1.0,string,27,1.845,1,0.245,
0062d590,FUN_0062d590,00522bf0,FUN_00522bf0,HIGH,1.0,string,24,1.421,1,0.407,
0045e0a0,FUN_0045e0a0,0052de00,FUN_0052de00,HIGH,1.0,string,19,1.39,0,0.056,
004901f0,FUN_004901f0,00404c10,FUN_00404c10,HIGH,1.0,string,12,1.511,0,0.066,
005dfcd0,FUN_005dfcd0,00507270,FUN_00507270,HIGH,1.0,string,10,1.906,4,0.154,teammecc_setup_slaves
005e0440,FUN_005e0440,00507270,FUN_00507270,HIGH,1.0,string,10,2.17,1,0.083,teammecc_setup_enemies
006233f0,FUN_006233f0,0053a660,FUN_0053a660,HIGH,1.0,string,8,4.73,0,0.171,
0045fed0,FUN_0045fed0,005304a0,FUN_005304a0,HIGH,1.0,string,7,9.215,1,0.096,
